Shante_Barthelmes,902,Prolog
Shante_Barthelmes,2468,Literate CoffeeScript
Shante_Barthelmes,1608,SuperCollider
Donn_Tombrello,1842,Ragel in Ruby Host
Donn_Tombrello,214,JSON
Donn_Tombrello,2213,Factor
Donn_Tombrello,1579,GAS
Natosha_Vincente,863,Logos
Natosha_Vincente,290,Unified Parallel C
Natosha_Vincente,671,Self
Natosha_Vincente,1114,INI
Harmony_Alcaraz,2898,Myghty
Harmony_Alcaraz,394,Gettext Catalog
Harmony_Alcaraz,51,Delphi
Hannah_Collons,1660,PHP
Nyree_Meir,2783,D-ObjDump
Nyree_Meir,2566,YAML
Nyree_Meir,2949,Haxe
Carlyn_Dewhurst,1161,Nginx
Carlyn_Dewhurst,527,C
Carlyn_Dewhurst,1395,Gentoo Ebuild
Carlyn_Dewhurst,833,Nimrod
Dale_Stratter,2874,LilyPond
Claudius_Rodrigez,2111,VHDL
Claudius_Rodrigez,691,MoonScript
Claudius_Rodrigez,1251,ChucK
Lennie_Rotkowski,12,Clojure
Juliana_Darsch,26,Objective-C
Otho_Acors,2015,Lua
Otho_Acors,1697,DOT
Otho_Acors,1035,Groovy
Aron_Qualls,1559,Fancy
Aron_Qualls,1763,FORTRAN
Aron_Qualls,937,Objective-J
Frederica_Tuxhorn,370,Augeas
Frederica_Tuxhorn,1498,XQuery
Frederica_Tuxhorn,2708,Parrot Assembly
Stetson_Cope,1860,Ecere Projects
Stetson_Cope,1229,SQL
Stetson_Cope,1569,Haskell
Chaney_Lelli,287,Fantom
Chaney_Lelli,275,Racket
Edmund_Irsik,50,XSLT
Edmund_Irsik,798,Prolog
Edmund_Irsik,2916,Nu
Edmund_Irsik,657,C++
Luverne_Hoglund,2885,XC
Luverne_Hoglund,2164,Perl
Luverne_Hoglund,1582,Common Lisp
Valinda_Windly,1841,GAS
Terrell_Lumpp,853,Myghty
Terrell_Lumpp,961,OpenEdge ABL
Waneta_Dunderman,781,Io
Waneta_Dunderman,2459,Apex
Waneta_Dunderman,1418,Arduino
Waneta_Dunderman,2642,Scala
Darby_Masey,1327,Pure Data
Darby_Masey,2596,Nimrod
Darby_Masey,860,Rebol
Earlean_Melstrom,831,AutoHotkey
Sanai_Fedak,387,Cpp-ObjDump
Sanai_Fedak,1739,HTML
Sanai_Fedak,2821,Literate CoffeeScript
Ivette_Castelhano,2558,CLIPS
Corrine_Larrow,1083,Groovy
Corrine_Larrow,1322,Racket
Levar_Macahilas,186,Objective-C
Anneliese_Spender,516,DCPU-16 ASM
Anneliese_Spender,447,Slash
Anneliese_Spender,2056,Common Lisp
German_Scherbel,1496,Groff
Hilda_Dalmau,1366,Brainfuck
Hilda_Dalmau,42,Cython
Hilda_Dalmau,2696,Gentoo Eclass
Hilda_Dalmau,2456,Cucumber
Cleta_Dowler,2126,Xtend
Cleta_Dowler,1778,TeX
Cleta_Dowler,2229,C++
Velvet_Barrois,1288,Mirah
Velvet_Barrois,1581,Omgrofl
Velvet_Barrois,464,Self
Darnell_Vallotton,1891,reStructuredText
Donald_Cohick,280,OCaml
Fritz_Hurrington,1518,reStructuredText
Fritz_Hurrington,869,C2hs Haskell
Fritz_Hurrington,1316,DOT
Fritz_Hurrington,779,TOML
Caroline_Vanderiet,2813,Scheme
Caroline_Vanderiet,2411,TypeScript
Caroline_Vanderiet,1658,wisp
Caroline_Vanderiet,2646,Matlab
Manerva_Jens,1243,ASP
Manerva_Jens,1065,Less
Manerva_Jens,1192,Objective-J
Manerva_Jens,2773,JavaScript
Tina_Daigle,349,Coq
Tina_Daigle,232,Tcsh
Amaris_Hanle,85,Moocode
Lizeth_Hejny,2473,eC
Lizeth_Hejny,2925,Markdown
Lizeth_Hejny,1612,Haxe
Linwood_Woon,2469,Literate CoffeeScript
Linwood_Woon,85,PowerShell
Linwood_Woon,712,XProc
Ellen_Reher,1241,Emacs Lisp
Ellen_Reher,2786,NumPy
Ellen_Reher,581,Opa
Carra_Esguerra,499,Groovy
Loreen_Dodich,2854,VimL
Loreen_Dodich,2841,ChucK
Loreen_Dodich,1391,Less
Lisbeth_Zampaglione,56,Batchfile
Lisbeth_Zampaglione,2676,JSON
Cordaro_Crismond,1294,LLVM
Cordaro_Crismond,2036,Cucumber
Saniya_Cappola,2246,Omgrofl
Saniya_Cappola,2580,Myghty
Saniya_Cappola,963,Objective-C
Saniya_Cappola,2777,M
Clemon_Astle,2855,edn
Clemon_Astle,1865,Genshi
Clemon_Astle,2144,Matlab
Clemon_Astle,1869,HTML+PHP
Lynn_Jacobsma,2125,eC
Lynn_Jacobsma,127,Befunge
Lynn_Jacobsma,1090,PogoScript
Lynn_Jacobsma,2019,Objective-J
Kimberli_Indovina,2044,PogoScript
Kimberli_Indovina,2730,Moocode
Heyward_Steinberg,628,Haxe
Heyward_Steinberg,529,Tcl
Heyward_Steinberg,1367,ABAP
Terrie_Goldbach,1305,XQuery
Cena_Burkard,89,Nemerle
Landin_Amidei,450,reStructuredText
Landin_Amidei,2607,HTML
Forrest_Rizal,189,Haml
Forrest_Rizal,352,Lua
Forrest_Rizal,1452,Nginx
Forrest_Rizal,1729,Erlang
Roxanne_Osario,1506,Arc
Roxanne_Osario,2056,CSS
Roxanne_Osario,1989,Volt
Roxanne_Osario,1557,Elm
Emmie_Rapisura,304,GLSL
Emmie_Rapisura,2344,Perl
Emmie_Rapisura,1893,INI
Vidal_Luft,76,Nimrod
Hollis_Ghamdi,1513,Parrot Internal Representation
Hollis_Ghamdi,1917,Textile
Lakendra_Maruska,146,Ecl
Lakendra_Maruska,1748,Java
Cherrelle_Espinoza,1126,Ecere Projects
Cherrelle_Espinoza,2453,ObjDump
Cherrelle_Espinoza,48,Lasso
Cherrelle_Espinoza,785,Less
Judy_Bovell,919,Groovy Server Pages
Judy_Bovell,261,XProc
Lenard_Reposa,717,HTTP
Lenard_Reposa,783,Opa
Lenard_Reposa,2642,Ceylon
Lenard_Reposa,619,wisp
Eddy_Kackley,1662,Xtend
Eddy_Kackley,1279,Pike
Eddy_Kackley,767,Erlang
Eddy_Kackley,235,Tcl
Evans_Whilden,591,Ecere Projects
Evans_Whilden,1517,Moocode
Haskell_Truhe,1945,Ecl
Haskell_Truhe,951,Ceylon
Haskell_Truhe,405,Matlab
Hartwell_Anschutz,1663,Ecere Projects
Hartwell_Anschutz,390,C#
Hartwell_Anschutz,2967,Unified Parallel C
Hartwell_Anschutz,2650,Augeas
